Vendor,Street Address,City,Zip Code,Phone,Location
CVS #0085,972 SILVER LN,EAST HARTFORD,6108,8605690888,
CVS #0942,542 PROVIDENCE RD,BROOKLYN,6234,8607790523,
DEFLORIO'S VARIETY,115 ELY AVE,NORWALK,6854,2038662590,
BIG Y WORLD CLASS MARKET #48,65 PALOMBA DR,ENFIELD,6082,8607495514,
STOP & SHOP #644,44 LAKE AVE EXT #46,DANBURY,6811,2037978901,
CVS #10367,930 WHITE PLAINS RD,TRUMBULL,6611,2032612542,
STOP & SHOP #630,44 FENN RD,NEWINGTON,6111,8606678380,
CVS #1080,817 BANK ST,NEW LONDON,6320,8604435359,
CARIBBEAN AMERICAN VARIETY,407 CENTER ST,MERIDEN,6450,2032351502,
LOS CHICOS ALEGRES,317 E MAIN ST,WATERBURY,6702,2037570657,
CVS #0954,311 MAIN ST,TERRYVILLE,6786,8603142890,
CVS #0388,613 BOSTON POST RD,MADISON,6443,2032459438,
ANSONIA XPRESS MART,180 WAKELEE AVE,ANSONIA,6401,2037343550,
POST ROAD EXPRESS,983 BOSTON POST RD,WEST HAVEN,6516,2039323934,
PRICERITE OF CROMWELL,136 BERLIN RD,CROMWELL,6416,8606350004,
TARGET T-1956,120 HAWLEY LN,TRUMBULL,6611,2034550102,
CVS #1152,58 PENNSYLVANIA AVE,NIANTIC,6357,8606910380,
BIG Y WORLD CLASS MARKET #44,1040 ELM ST,ROCKY HILL,6067,8607210692,
BIG Y WORLD CLASS MARKET #55,830 BOSTON POST RD,GUILFORD,6437,2034533267,
PIONEER FOOD CENTER,346  BALDWIN STREET,WATERBURY,6706,2035283502,
STOP & SHOP #2611,11 E HIGH ST,EAST HAMPTON,6424,8602672039,
STG GROCERY,441 BARBOUR ST,HARTFORD,6120,8605248693,
BIG Y WORLD CLASS MARKET #32,85 BRIDGE ST,NAUGATUCK,6770,2037294124,
CVS #2259,215 WHALLEY AVE,NEW HAVEN,6511,2034014660,
BIG Y WORLD CLASS MARKET #53,255 W MAIN ST,AVON,6001,8606781322,
LA MARQUETA MEAT & PRODUCE,54 MYRTLE AVE,STAMFORD,6902,2032980595,
CVS #1101,16 MAIN ST,EAST HARTFORD,6118,8605691418,
BIG Y WORLD CLASS MARKET #88,533 S BROAD ST,MERIDEN,6450,2032375244,
CVS #0865,839 E MAIN ST,MERIDEN,6450,2032372665,
CVS #1898,255 SOUND BEACH AVE,OLD GREENWICH,6870,2036981457,
CVS #1219,229 HOPE ST,STAMFORD,6906,2039211317,
DAILY NEEDS LLC,1485 EAST MAIN STREET,WATERBURY,6705,2037571088,
STOP & SHOP #663,1360 EAST TOWN RD,MILFORD,6460,2038771841,
G&C GROCERY LLC,760 PARK ST,HARTFORD,6106,8604617766,
CVS #1109,7 DURANT AVE,BETHEL,6801,2037941745,
SHOPRITE OF ORANGE #325,259 BULL HILL LANE,ORANGE,6477,2037950628,
CVS #2097,279 BOSTON POST RD,ORANGE,6477,2037990177,
UPTOWN NEWS & VARIETY,4200 MAIN ST,BRIDGEPORT,6606,2035439196,
WATERBURY QUICK MART,467 WOLCOTT ST,WATERBURY,6705,2035730469,
STOP & SHOP #681,1235 FARMINGTON AVE,WEST HARTFORD,6107,8605215010,
SHOPRITE OF ENFIELD,40 HAZARD AVE,ENFIELD,6082,8607451621,
CARUSO'S MARKET,118 OAK ST,WATERBURY,6704,2037566521,
CVS #1097,661 MAIN ST,TORRINGTON,6790,8604822415,
BIG Y WORLD CLASS MARKET #56,1 KENT RD,NEW MILFORD,6776,8603552628,
WALMART SUPERCENTER #2331,155 WATERFORD PKWY N,WATERFORD,6385,8604473646,
CVS #556,1657 ROUTE 12,GALES FERRY,6335,8604640288,
PRICERITE OF HAMDEN,1869 DIXWELL AVENUE,HAMDEN,6514,2032810036,
CVS #10462,720 BRANCHVILLE ROAD,RIDGEFIELD,6877,2035447094,
BRAVO SUPERMARKET,685 MAPLE AVE,HARTFORD,6114,8602931354,
MARIBEL GROCERY,235 MADISON AVENUE,BRIDGEPORT,6604,2033336220,
GRADE A SHOPRITE #398,875 BRIDGEPORT AVE,SHELTON,6484,2032259224,
CVS #1153,1875 BOSTON AVE,BRIDGEPORT,6610,2033308284,
N J MINI MARKET,335 BROAD ST,NEW BRITAIN,6053,8605050387,
CAYEY MARKET,155 KIMBERLY AVE,NEW HAVEN,6519,2037890632,
MY FAIR HAVEN PHARMACY LLC,72 GRAND AVENUE,NEW HAVEN,6513,2034983479,
PRICERITE OF WILLIMANTIC,60 CANTOR DRIVE,WILLIMANTIC,6226,8604501624,
C.O.N. MINI MARKET,190 W MAIN ST,STAMFORD,6902,2033248842,
LA GRAN MARKET DELI RESTAURANT,595 GRAND ST,BRIDGEPORT,6604,2039084933,
CVS #2143,3710 MAIN ST,BRIDGEPORT,6606,2033711279,
STOP & SHOP #680,77 CENTENNIAL AVE,MERIDEN,6451,2032381778,
BETTER VAL-U #2,657 NORWICH RD,PLAINFIELD,6374,8605647714,
STOP & SHOP #670,4531 MAIN ST,BRIDGEPORT,6606,2033716972,
GEISSLER'S SUPERMARKET,40 TUNXIS AVE,BLOOMFIELD,6002,8602424444,
STOP & SHOP #658,5 RIVER RD,WILTON,6897,2038340283,
BRAVO SUPERMARKET,1291 ALBANY AVE,HARTFORD,6112,8602788271,
BIG Y WORLD CLASS MARKET #30,224 SALEM TPKE,NORWICH,6360,8608869996,
COLONIAL GROCERY,103 COLONIAL AVE,WATERBURY,6704,2037568291,
STOP & SHOP #697 SUPER,1094 KILLINGLY COMMONS DR,DAYVILLE,6241,8607793259,
STOP & SHOP #693,940 SILVER LN,EAST HARTFORD,6118,8605697050,
CVS #0691,1181 MAIN ST,NEWINGTON,6111,8606668735,
WALMART SUPERCENTER #2022,474 BOSTON POST RD,NORTH WINDHAM,6256,8604564399,
CVS #2099,479 BLUE HILLS AVE,HARTFORD,6112,8607696869,
CVS #0333,976 FARMINGTON AVE,WEST HARTFORD,6107,8605210425,
C TOWN SUPERMARKET,360 BOSTON AVE,STRATFORD,6614,2033758987,
STOP & SHOP #631,215 GLASTONBURY BLVD,GLASTONBURY,6033,8606594553,
STOP & SHOP #653,1790 POST RD E,WESTPORT,6880,2032548484,
CARLA'S SUPERMARKET,660 BLUE HILLS AVE,HARTFORD,6112,8602431439,
AZTECA MARKET,522 PEQUONNOCK ST,BRIDGEPORT,6604,2032969955,
GEISSLER'S SUPERMARKET,95 SOUTH RD,SOMERS,6071,8607497339,
PARK AVENUE SUPERMARKET,375 PARK AVE,BRIDGEPORT,6604,2033351926,
CVS #2545,35 PADANARAM RD,DANBURY,6811,2037304870,
CVS #0760,713 W MAIN ST,NEW BRITAIN,6053,8602242831,
BIG Y SHELTON #90,401 BRIDGEPORT AVE,SHELTON,6484,2034473003,
STOP & SHOP #2633,150 WHALLEY AVE,NEW HAVEN,6511,2035030105,
CVS #0145,330 MAIN ST,FARMINGTON,6032,8606775047,
COUNTRY FARMS,66 MAIN ST,JEWETT CITY,6351,8603761137,
NEW BRITAIN XPRESSMART LLC,168 FARMINGTON AVENUE,NEW BRITAIN,6053,8608278522,
GRADE A SHOPRITE #397,1990 W MAIN ST,STAMFORD,6902,2039780464,
WALGREENS #5723,960 NORTH AVE,BRIDGEPORT,6606,2033346978,
LA SUPERMARKETA,270 GRAND AVENUE,NEW HAVEN,6513,2038657936,
CVS #2502,581 HIGHLAND AVE,CHESHIRE,6410,2032502250,
LOS PRIMOS MINI MARKET,656 MAIN ST,MIDDLETOWN,6457,8603463049,
FOOD BAZAAR FARMERS MARKET,345 HUNTINGTON TPKE,BRIDGEPORT,6610,2036106995,
SIGOURNEY MARKET INC,97 ASHLEY ST,HARTFORD,6105,8607279198,
STOP & SHOP #2604,931 TORRINGFORD ST,TORRINGTON,6790,8604825125,
CVS #2109,22 WINDSOR AVE,VERNON ROCKVILLE,6066,8608706764,
STOP & SHOP #612,11 GLEN RIDGE RD,GREENWICH,6831,2035310541,
ALBANY GROCERY,1160 ALBANY AVE,HARTFORD,6112,8602784775,
CVS #3719,11 FOREST ST,STAMFORD,6901,2033630627,
NEIGHBORS EXPRESS MART,158 FITCH ST,NEW HAVEN,6515,2037104258,
SUNSHINE FARMS MINI MARKET,219-231 CENTRAL AVE,NORWICH,6360,8602223435,
M&A CONVENIENCE STORE,275 HIGH STREET,HARTFORD,6103,8602442528,
CVS #2018,540 W MAIN ST,MERIDEN,6451,2036391473,
CVS #0953,45 S MAIN ST,UNIONVILLE,6085,8606759212,
BIG Y WORLD CLASS MARKET #31,70 WAUREGAN RD,DANIELSON,6239,8607797223,
CVS #4436,241 W MIDDLE TPKE,MANCHESTER,6040,8605331156,
KIKO SUPERMARKET,488 PARK AVE,EAST HARTFORD,6108,8606558836,
JAY SHREE KRASHNA LLC,156 BANK STREET,WATERBURY,6702,2035759868,
TARGET T-1802,3265 BERLIN TPKE,NEWINGTON,6111,8606160022,
PRICE CHOPPER #221,675 POQUONOCK AVE,WINDSOR,6095,8606871411,
STOP & SHOP #608,99 LINWOOD AVE,COLCHESTER,6415,8605372361,
BIG Y WORLD CLASS MARKET #87,1289 FOXON RD,NORTH BRANFORD,6471,2034849530,
STOP & SHOP #620 SUPER,100 QUALITY ST,TRUMBULL,6611,2034451006,
CVS #2151,1770 KINGS HIGHWAY,FAIRFIELD,6824,2032550060,
CVS #1244,26 WATERBURY RD,PROSPECT,6712,2037583378,
BURRITO MEAT-AMERICA'S FOOD BSKT,250 ALLEN STREET,NEW BRITAIN,6053,8605058130,
CVS #5703,60 MIDDLE ST,BRISTOL,6010,8605850122,
VICTORIA'S MARKET,120 WEBSTER ST,HARTFORD,6114,8605248122,
TARGET T-1289,475 HARTFORD RD,NEW BRITAIN,6053,8603489100,
STOP & SHOP #637,2200 BEDFORD ST,STAMFORD,6905,2033560109,
CVS #4473,15 CHESTERFIELD RD,EAST LYME,6333,8607390276,
ADAM'S HOMETOWN MARKETS,316 MARLBOROUGH STREET,PORTLAND,6480,8603420672,
STOP & SHOP #606,195 WEST ST,CROMWELL,6416,8606358300,
STOP & SHOP #665 SUPER,248 FLANDERS RD,EAST LYME,6333,8606912146,
STOP & SHOP #632,80 TOWN LINE RD,ROCKY HILL,6067,8605631169,
BURNSIDE SUPERMARKET,1150 BURNSIDE AVE,EAST HARTFORD,6108,8602919965,
WALMART STORE #1891,420 BUCKLAND HILLS DR,MANCHESTER,6042,8606445100,
CVS #1028,724 QUEEN ST,SOUTHINGTON,6489,8602761293,
BIG Y WORLD CLASS MARKET #47,403 MAIN ST,ANSONIA,6401,2037366191,
CVS #0071,989 BOSTON POST RD,MILFORD,6460,8607839058,
CVS #1151,464 REIDVILLE DR,WATERBURY,6705,2035960905,
SHOPRITE OF WATERBURY #314,943 WOLCOTT ST,WATERBURY,6705,2037565614,
GERRY'S SHELL,141 WILLOW ST,NEW HAVEN,6511,2037774359,
CVS #2253,111 ALBANY TPKE,CANTON,6019,8606938077,
JR SUPERMARKET 2,224 CAPEN STREET,HARTFORD,6112,8603566818,
CVS #11007,123  CHURCH STREET,NEW HAVEN,6510,2034989442,
STOP & SHOP #645,1309 CORBIN AVE,NEW BRITAIN,6053,8603489856,
STOP & SHOP #2616,55 VILLAGE GREEN DRIVE,LITCHFIELD,6759,8603934051,
STAMFORD MARKET,181 STILLWATER AVENUE,STAMFORD,6902,2033160661,
CVS #1180,358 W MAIN ST,AVON,6001,8606788697,
C TOWN SUPERMARKET,160 COLONY ST,MERIDEN,6451,2032357000,
CVS #1276,81 NORTH ST,BRISTOL,6010,8605848729,
BIG Y OLD LYME #06,90 HALLS RD,OLD LYME,6371,8604341433,
C TOWN SUPERMARKET,442 MAIN ST,EAST HARTFORD,6118,8605682221,
DREAM FOOD MART,284 COLONIAL AVE,WATERBURY,6704,2037540884,
CVS #1051,593 NEWFIELD AVE,STAMFORD,6905,2039674600,
TARGET T-2045,1191 BOSTON POST RD,MILFORD,6460,2033065063,
STOP & SHOP #675,920 WOLCOTT ST,WATERBURY,6705,2037559489,
CVS #2153,150 S MAIN ST,WEST HARTFORD,6107,8605616162,
CVS #2475,122 E PUTNAM RD,COS COB,6807,2034222129,
FLATBUSH MARKET,273 HILLSIDE AVE,HARTFORD,6106,8603100057,
BIG Y WORLD CLASS MARKET #58,22 SPENCER PLAIN RD,OLD SAYBROOK,6475,8603950511,
TOWN MARKET,1637 PARK ST,HARTFORD,6106,8602317192,
EL MERCADITO GROCERY,33 BOUTON ST,NORWALK,6854,2036041244,
WATERBURY XPRESS FOODMART LLC,2406 NORTH MAIN STREET,WATERBURY,6704,2035911843,
STOP & SHOP #659,72 NEWTOWN RD,DANBURY,6810,2037980555,
ESHALS GROCERY STORE,265 BROAD ST,NEW LONDON,6320,8605749118,
CONGRESS DELI INC,620 CONGRESS AVENUE,NEW HAVEN,6519,2036005150,
CVS #2896,675 WASHINGTON ST,MIDDLETOWN,6457,8603441320,
BIG Y WORLD CLASS MARKET #49,6 QUEEN ST,NEWTOWN,6470,2032707838,
FOOD BAZAAR,500 SYLVAN AVE,BRIDGEPORT,6606,2036833740,
LA GRAN PLACITA MEAT MARKET,2110 E MAIN ST,BRIDGEPORT,6610,2035797736,
STOP & SHOP #611,120 SALMON BROOK ST,GRANBY,6035,8608448253,
PRICERITE OF WETHERSFIELD,160 SILAS DEANE HWY,WETHERSFIELD,6109,8605632229,
BIG Y WORLD CLASS MARKET #36,275 NEW BRITAIN AVE,PLAINVILLE,6062,8607475724,
STOP & SHOP #2612,25 ROUTE 39,NEW FAIRFIELD,6812,2033120482,
WALMART SUPERCENTER #5777,450 PROVIDENCE RD,BROOKLYN,6234,8604125137,
STOP & SHOP #699,1739 ELLINGTON RD,SOUTH WINDSOR,6074,8606484026,
CVS #0350,566 FARMINGTON AVE,HARTFORD,6105,8602339673,
CVS #2210,1239 E PUTNAM AVE,RIVERSIDE,6878,2036984005,
CVS #1060,326 MAIN ST,SOUTHINGTON,6489,8606211992,
CVS #2056,25 BROADWAY AVENUE,MYSTIC,6355,8605365628,
BD HALAL MEAT & FISH LLC,978 STATE STREET,BRIDGEPORT,6605,6467644500,
BIG Y WORLD CLASS MARKET #73,135 WEST RD,ELLINGTON,6029,8608960457,
STOP & SHOP #616,161 W PUTNAM AVE,GREENWICH,6830,2036250622,
JUNCO & DAUGHTER MARKET,533 HARRAL AVE,BRIDGEPORT,6604,2033376188,
CVS #0629,146 SOUTH ST,DANBURY,6810,2037949438,
ADAM'S SUPERMARKET,201 MAIN ST,TERRYVILLE,6786,8605839177,
CVS #2119,1055 FARMINGTON AVE,KENSINGTON,6037,8608290561,
STOP & SHOP #674,1391 MAIN ST,WILLIMANTIC,6226,8604568768,
STOP & SHOP #678 SUPER,2020 NORWICH NEW LONDON TPKE,UNCASVILLE,6382,8608486960,
CVS #5263,150 WASHINGTON ST,HARTFORD,6106,8605951750,
CVS #0854,327 MAIN AVE,NORWALK,6851,2038476057,
STOP & SHOP #642 SUPER,747 PINE ST,BRISTOL,6010,8605823154,
ACME #2439,1201 HIGH RIDGE RD,STAMFORD,6905,2033210429,
GRADE A SHOPRITE-DANBURY #388,1 PADANARAM RD,DANBURY,6811,4753296114,
WALMART SUPERCENTER #5439,315 FOXON BLVD,NEW HAVEN,6513,2034677509,
PIMPO FOOD MARKET,881 BALDWIN STREET,WATERBURY,6706,2037530028,
CVS #2572,1 HAWLEY LN,STRATFORD,6614,2033837735,
CVS #0935,891 N COLONY RD,WALLINGFORD,6492,2032948890,
CAMPBELL DELI & GROCERY,739 CAMPBELL AVE,WEST HAVEN,6516,2039333354,
UTUADO GROCERY,60 SELLECK ST,STAMFORD,6902,2033571821,
SHOP SMART,284 PUTNAM ST,NEW HAVEN,6519,2034982382,
EXPRESS SHOP 3,131 NORTH ST,NEW BRITAIN,6051,8608267767,
WALMART SUPERCENTER #5095,495 FLATBUSH AVE,HARTFORD,6106,8609530040,
MOON MART,229 WHITEWOOD RD,WATERBURY,6708,2035738887,
CVS #2682,47 MAIN ST,WINSTED,6098,8607386250,
LOMBARD DELI & GROCERY,297 LOMBARD ST,NEW HAVEN,6513,2036244455,
STOP & SHOP #605,55 OAK ST,GLASTONBURY,6033,8606528925,
CVS #0738,467 MAIN ST,RIDGEFIELD,6877,2034318481,
BIG Y WORLD CLASS MARKET #82,83 STONY HILL RD,BETHEL,6801,2037918589,
C TOWN SUPERMARKET,1744 PARK STREET,HARTFORD,6106,8602365520,
STOP & SHOP #2607,91 VOLUNTOWN RD,PAWCATUCK,6379,8605992433,
STOP & SHOP #698 SUPER,2145 FAIRFIELD AVE,BRIDGEPORT,6605,2033330333,
STOP & SHOP #694,79 WASHINGTON AVE,NORTH HAVEN,6473,2032341795,
STOP & SHOP #682,220 ROUTE 12,GROTON,6340,8604454440,
CVS #1098,47 HAZARD AVE,ENFIELD,6082,8607451212,
STOP & SHOP #607,498 BUSHY HILL RD,SIMSBURY,6070,8606514787,
BARGAIN FOOD CENTER LLC,626  SOUTH MAIN STREET,WATERBURY,6706,2037548744,
STOP & SHOP #626,148 HEIGHTS RD,DARIEN,6820,2036558755,
VISEL'S PHARMACY,714 DIXWELL AVE,NEW HAVEN,6511,2035626878,
BIG Y WORLD CLASS MARKET #59,504 WINSTED RD,TORRINGTON,6790,8604890246,
STOP & SHOP #654,485 BROAD ST,MERIDEN,6450,2032381235,
PRICE CHOPPER #205,35 TALCOTTVILLE RD,VERNON,6066,8608751211,
STAR SUPERMARKET & DELI,583 BURNSIDE AVE,EAST HARTFORD,6108,8602827827,
WILLIAMS GROCERY & DELI,247 SIGOURNEY ST,HARTFORD,6105,8605489325,
UNITED GROCERY,237 JEFFERSON AVENUE,NEW LONDON,6320,8606298015,
CVS #1148,905 S MAIN ST,CHESHIRE,6410,2032723255,
KRAUSZER'S FOOD STORE,911 CAMPBELL AVE,WEST HAVEN,6516,2039321416,
CVS #0840,908 MAPLE AVE,HARTFORD,6114,8609566739,
TARGET T-1267,900 HARTFORD TPKE,WATERFORD,6385,8604423300,
STOP & SHOP #622,211 HIGH ST,TORRINGTON,6790,8604824460,
SAVE-A-LOT #845,205 UNION ST,WATERBURY,6706,2037540573,
ROCKVILLE CORNER MARKET,20 E MAIN ST,VERNON,6066,8608716894,
PRICERITE OF WEST HARTFORD,983 NEW BRITAIN AVE,WEST HARTFORD,6110,8609535816,
MELO MINI MARKET,517 ALBANY AVE,HARTFORD,6120,8605240578,
FERNANDES FOOD STORE,99 TOWN HILL AVENUE,DANBURY,6810,2037489181,
CVS #0839,14 FARMINGTON AVE,PLAINVILLE,6062,8607930613,
KEY FOOD MARKETPLACE,286 FAIRFIELD AVENUE,WATERBURY,6708,2037547817,
PRICE CHOPPER #243,1220 STORRS RD,STORRS,6268,8605536555,
KRAUSZER  FOOD STORE,36  FAIRVIEW AVE,HAMDEN,6514,2037872005,
CVS #1903,799 PARK AVE,BLOOMFIELD,6002,8602431698,
SHOPRITE OF EAST HAVEN #326,745 FOXON RD,EAST HAVEN,6513,4752025180,
CVS #3795,93 OLD RIDGEFIELD RD,WILTON,6897,2037625020,
MAMBO GROCERY,731 NOBLE AVE,BRIDGEPORT,6608,2036960075,
STOP & SHOP #662,380 MAIN AVE,NORWALK,6851,2038401001,
CINDY MARKET,874 N MAIN ST,WATERBURY,6704,2035741486,
BIG Y WORLD CLASS MARKET #60,67 PROSPECT HILL RD,EAST WINDSOR,6088,8606234000,
BETTER VAL-U #7,4 N CANTERBURY RD,CANTERBURY,6331,8605469436,
CVS #1968,369 MAIN ST,EAST HAVEN,6512,2034676369,
BEST MARKET,175 LOWREY PLACE,NEWINGTON,6111,8606163971,
CVS #1910,260 N MAIN ST,MANCHESTER,6040,8606454510,
WALMART STORE #3543,67 NEWTOWN RD,DANBURY,6810,2037911929,
BIG Y WORLD CLASS MARKET #34,141-B STORRS RD,MANSFIELD CENTER,6250,8604568051,
CVS #0718,24 PERSHING DR,ANSONIA,6401,2037357252,
CVS #1241,734 BRIDGEPORT AVE,MILFORD,6460,2038778127,
CRESPO & SONS,81 WOODWARD AVE,NORWALK,6854,2038386198,
JR SUPERMARKET,194 WESTLAND STREET,HARTFORD,6120,8609061295,
CVS #1960,1279 W MAIN ST,WATERBURY,6708,2037555490,
FERRARO'S FOODLAND,664 GRAND AVE,NEW HAVEN,6511,2037763462,
BIG Y WORLD CLASS MARKET #18,772 N MAIN ST,WEST HARTFORD,6117,8602361505,
CVS #8249,57 PROVIDENCE PIKE,PUTNAM,6260,8609632548,
CVS #0623,397 POST RD E,WESTPORT,6880,2032227501,
STOP & SHOP #679,240 CHASE AVE,WATERBURY,6704,2037564670,
C TOWN SUPERMARKET,325 FERRY ST,NEW HAVEN,6513,2037773998,
WALMART STORE #2900,80 TOWN LINE RD,ROCKY HILL,6067,8605634355,
CVS #1123,22 DEPOT HILL RD,SOUTHBURY,6488,2032621833,
HILL STREET MINI MARKET,262 HILL ST,WATERBURY,6704,2037571099,
PRICE CHOPPER #203,410 QUEEN ST,SOUTHINGTON,6489,8606212128,
BIG Y WORLD CLASS MARKET #61,995 POQUONNOCK RD,GROTON,6340,8604491229,
J&H GROCERY STORE LLC,129 WOOD AVE,BRIDGEPORT,6605,2036901241,
JUNCO 7,1100 PEMBROKE ST,BRIDGEPORT,6608,2033340850,
CVS #3373,961 BLACK ROCK TPKE,FAIRFIELD,6825,2033314731,
ADAM'S IGA SUPERMARKET,1391 NEW HAVEN AVE,MILFORD,6460,2038787363,
PACI'S MARKET,255 LINDLEY ST,BRIDGEPORT,6606,2033341511,
ACME #2494,160 W PUTNAM AVE,GREENWICH,6830,2036222944,
WALMART SUPERCENTER #2284,1100 NEW HAVEN RD,NAUGATUCK,6770,2037299100,
STOP & SHOP #628,597 FARMINGTON AVE,BRISTOL,6010,8605825674,
GEISSLER'S SUPERMARKET,318 BROAD ST,WINDSOR,6095,8606888867,
AMIGO MARKET & DELI,527 FARMINGTON AVE,HARTFORD,6105,8602323963,
CVS #1213,94 PARK ST,NEW CANAAN,6840,2039660009,
CVS #0172,2 SHORTBEACH RD,BRANFORD,6405,2034884372,
FAIRWAY MARKET,699 CANAL ST,STAMFORD,6902,2033889815,
GRADE A SHOPRITE-FAIRFIELD 399,1975 BLACK ROCK TPKE,FAIRFIELD,6825,2036150140,
STOP & SHOP #615,42 TOWN ST,NORWICH,6360,8608871611,
STOP & SHOP #610,1380 BERLIN TPKE,WETHERSFIELD,6109,8609563800,
SHOPRITE OF HAMDEN #324,2100 DIXWELL AVE,HAMDEN,6514,2032305000,
GEISSLER'S SUPERMARKET,965 SULLIVAN AVE,SOUTH WINDSOR,6074,8606443007,
CROSS ROADS,1062 ALBANY AVE,HARTFORD,6112,8602473172,
WALMART SUPERCENTER #1980,625 SCHOOL ST,PUTNAM,6260,8609283999,
CITY SUPERMARKET II,2251 MAIN ST,BRIDGEPORT,6606,2032758485,
MLC MARKET & DELI,1377 STRATFORD AVE,BRIDGEPORT,6607,2033309418,
KEKO'S DELI LLC,564 EAST ST,NEW BRITAIN,6051,8608270246,
CVS #1070,90 MAIN ST,WINDSOR LOCKS,6096,8606541650,
STOP & SHOP #625,200 NEW HARTFORD RD,WINSTED,6098,8603799995,
SAVE-A-LOT #829,60 E MAIN ST,NEW BRITAIN,6051,8603489416,
CVS #0288,839 FARMINGTON AVE,BRISTOL,6010,8605838351,
C TOWN SUPERMARKET,47 MAIN ST,NEW BRITAIN,6051,8602233800,
